key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,participant,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
space,80.62999988,space,4.220000029,-0.304444444,-0.353333333,1,0,0,,,4,0.174000025,1,0,5,3,1,4,138.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.012222222,-0.337777778,1,0,0,,,7,0.121999979,1,0,5,0,1,4,121.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.09,-0.347777778,1,0,0,,,8,0.118999958,1,0,5,4,1,4,11.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.098888889,-0.327777778,1,0,0,,,6,0.119999886,1,0,5,2,1,4,108.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.178888889,-0.326666667,1,0,0,,,9,0.122999907,1,0,5,1,1,4,148.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,16_5.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,space,5.865999937,0.101111111,-0.347777778,1,0,0,,,8,0.115999937,1,0,28,4,1,27,16.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,71_22.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,-0.408888889,-0.33,1,0,0,,,3,0.118999958,1,0,28,21,1,27,71.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2_6.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,-0.207777778,-0.334444444,1,0,0,,,5,0.120000124,1,0,28,5,1,27,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,99_28.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,-0.415555556,-0.342222222,1,0,0,,,3,0.121000051,1,0,28,27,1,27,99.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,47_17.png,1234,001,2020-02-03_15h10.23.897,trust_define_RK,3.2.3,Win32,60,IwAR2TXq3rra-5OFzOtjV0IOsAnF70sLEf9btV_8reU7ym_3t54YFTM8MaJaw,,,0.085555556,-0.332222222,1,0,0,,,8,0.119999886,1,0,28,16,1,27,47.png,,,,,,,,,,,,,,,,,,,,,,,,,,
